tt0000299	5.5	181
tt0000300	6.9	1053
tt0000301	4.4	312
tt0000302	5.1	141
tt0000304	6.0	1022
tt0000306	5.4	168
tt0000307	5.0	61
tt0000308	5.7	60
tt0000309	6.1	710
tt0000310	7.3	15
tt0000313	5.9	659
tt0000319	5.8	135
tt0000321	4.9	166
tt0000328	7.2	6
tt0000335	6.1	41
tt0000337	5.1	311
tt0000340	5.0	228
tt0000341	4.9	286
tt0000346	4.9	162
tt0000347	4.4	82
tt0000349	5.7	95
tt0000350	5.8	615
tt0000352	5.9	24
tt0000353	5.1	292
tt0000355	6.1	561
tt0000357	5.8	336
tt0000358	6.1	575
tt0000359	7.1	2452
tt0000361	8.1	10
tt0000363	6.2	119
tt0000364	5.4	121
tt0000368	6.6	12
tt0000370	5.5	358
tt0000373	6.2	55
tt0000376	7.0	6
tt0000377	6.2	95
tt0000379	5.2	6
tt0000380	7.2	13
tt0000381	3.9	10
tt0000384	5.8	185
tt0000387	5.2	284
tt0000388	5.1	98
tt0000399	6.1	639
tt0000400	6.4	10
tt0000402	5.7	7
tt0000406	5.7	22
tt0000407	3.7	27
tt0000409	5.2	167
tt0000410	6.7	863
tt0000412	4.5	11
tt0000413	5.5	338
tt0000414	5.3	641
tt0000416	5.3	122
tt0000417	8.2	42764
tt0000420	6.3	2306
tt0000423	5.4	185
tt0000425	5.2	10
tt0000426	4.8	6
tt0000430	5.9	604
tt0000432	5.6	164
tt0000436	6.2	445
tt0000437	5.1	187
tt0000439	7.3	16824
tt0000440	5.4	177
tt0000441	6.5	6
tt0000442	4.7	57
tt0000443	5.8	9
tt0000446	6.1	9
tt0000447	6.4	2049
tt0000451	6.6	740
tt0000452	4.7	84
tt0000455	6.8	1649
tt0000456	4.1	36
tt0000459	4.6	51
tt0000460	6.3	7
tt0000464	4.8	342
tt0000465	7.3	1120
tt0000469	5.8	890
tt0000471	5.1	399
tt0000472	6.4	13
tt0000479	5.4	333
tt0000480	5.0	160
tt0000487	7.0	411
tt0000488	6.9	681
tt0000491	4.0	40
tt0000492	5.0	84
tt0000495	6.0	83
tt0000496	6.1	39
tt0000497	5.1	50
tt0000498	6.6	1017
tt0000499	7.6	3023
tt0000501	4.8	26
tt0000502	3.8	6
tt0000505	8.1	11
tt0000506	5.0	6
tt0000507	3.7	28
tt0000509	6.2	19
tt0000511	6.6	25
tt0000512	4.5	41
tt0000515	4.8	72
tt0000516	6.5	833
tt0000519	5.7	295
tt0000520	6.5	32
tt0000521	5.4	244
tt0000524	5.7	657
tt0000525	5.5	38
tt0000526	4.2	40
tt0000528	6.0	9
tt0000533	7.2	18
tt0000534	6.6	950
tt0000535	5.1	45
tt0000537	4.5	65
tt0000543	5.2	12
tt0000546	6.7	1661
tt0000548	5.5	6
tt0000550	4.4	8
tt0000552	5.7	39
tt0000553	6.5	300
tt0000554	6.2	1091
tt0000555	5.2	11
tt0000557	4.6	91
tt0000561	5.4	27
tt0000565	6.3	437
tt0000567	6.7	890
tt0000570	4.1	34
tt0000571	7.0	51
tt0000574	6.1	589
tt0000575	5.9	405
tt0000576	6.0	194
tt0000578	7.1	10
tt0000581	5.2	6
tt0000582	5.1	583
tt0000583	5.5	24
tt0000584	5.0	53
tt0000586	6.2	6
tt0000591	5.5	6
tt0000597	4.9	55
tt0000598	5.6	28
tt0000599	4.7	7
tt0000601	5.0	6
tt0000602	4.7	163
tt0000609	4.2	12
tt0000610	5.0	11
tt0000613	4.3	7
tt0000614	6.5	870
tt0000615	4.5	15
tt0000617	4.5	17
tt0000618	7.8	8
tt0000621	6.4	515
tt0000624	7.0	6
tt0000627	6.1	15
tt0000628	5.7	670
tt0000629	5.6	34
tt0000630	3.2	12
tt0000632	5.3	36
tt0000634	3.7	10
tt0000637	5.5	563
tt0000638	5.4	32
tt0000639	5.3	42
tt0000640	4.3	80
tt0000641	4.8	105
tt0000642	5.5	25
tt0000644	5.3	20
tt0000645	5.3	103
tt0000648	4.8	106
tt0000650	6.5	6
tt0000651	5.2	34
tt0000653	4.6	152
tt0000654	5.3	51
tt0000658	6.4	172
tt0000659	5.2	36
tt0000660	5.6	19
tt0000661	6.7	13
tt0000662	5.1	17
tt0000663	5.7	15
tt0000665	5.8	15
tt0000666	5.8	20
tt0000668	7.0	20
tt0000669	4.9	103
tt0000671	6.2	8
tt0000672	5.5	15
tt0000674	4.7	35
tt0000675	4.8	10
tt0000676	4.3	9
tt0000677	6.5	6
tt0000679	5.2	37
tt0000680	5.7	15
tt0000681	5.6	10
tt0000682	6.9	2151
tt0000683	5.6	43
tt0000684	5.1	76
tt0000685	5.8	15
tt0000689	6.5	18
tt0000690	6.3	14
tt0000694	5.4	19
tt0000695	5.8	22
tt0000697	5.4	10
tt0000698	5.7	9
tt0000699	6.0	10
tt0000700	5.4	47
tt0000704	5.2	19
tt0000706	5.2	13
tt0000707	5.8	9
tt0000708	4.8	11
tt0000709	5.7	30
tt0000711	4.9	8
tt0000712	6.8	5
tt0000713	6.0	7
tt0000715	6.2	5
tt0000717	5.6	9
tt0000720	6.3	10
tt0000722	5.4	7
tt0000724	5.2	32
tt0000725	6.4	5
tt0000727	6.2	11
tt0000728	5.9	92
tt0000730	5.8	38
tt0000731	4.6	14
tt0000733	6.3	14
tt0000734	4.2	6
tt0000736	5.2	8
tt0000737	5.5	19
tt0000738	8.0	12
tt0000739	6.2	8
tt0000740	5.8	9
tt0000741	5.1	10
tt0000743	6.7	7
tt0000746	7.4	11
tt0000747	5.0	11
tt0000748	6.1	16
tt0000749	5.7	640
tt0000750	7.0	7
tt0000752	5.4	90
tt0000754	7.2	40
tt0000755	5.7	157
tt0000756	5.4	85
tt0000758	6.3	18
tt0000759	7.9	9
tt0000762	5.7	7
tt0000764	5.7	100
tt0000765	5.8	8
tt0000767	5.9	10
tt0000769	5.3	119
tt0000770	5.4	102
tt0000771	6.0	14
tt0000772	6.3	10
tt0000775	7.2	8
tt0000776	5.8	64
tt0000778	6.6	7
tt0000779	5.7	7
tt0000781	6.6	10
tt0000782	7.4	14
tt0000783	5.0	5
tt0000784	6.6	8
tt0000785	5.3	33
